iter	Passed	Remaining
0	0	76
1	1	71
2	2	69
3	2	64
4	3	63
5	4	63
6	4	62
7	5	62
8	6	61
9	6	61
10	7	60
11	8	59
12	8	59
13	9	58
14	10	58
15	10	57
16	11	56
17	12	56
18	13	55
19	13	55
20	14	54
21	15	54
22	16	53
23	16	53
24	17	52
25	18	52
26	19	51
27	19	51
28	20	50
29	21	50
30	22	49
31	23	49
32	23	48
33	24	47
34	25	47
35	26	46
36	27	46
37	27	45
38	28	44
39	29	44
40	30	43
41	30	42
42	31	42
43	32	41
44	33	41
45	34	40
46	35	40
47	36	39
48	37	38
49	37	37
50	38	37
51	39	36
52	40	35
53	41	35
54	41	34
55	42	33
56	43	32
57	44	32
58	45	31
59	45	30
60	46	29
61	47	29
62	48	28
63	49	27
64	49	26
65	50	26
66	51	25
67	52	24
68	53	23
69	53	23
70	54	22
71	55	21
72	56	20
73	57	20
74	57	19
75	58	18
76	59	17
77	60	17
78	61	16
79	61	15
80	62	14
81	63	13
82	64	13
83	65	12
84	65	11
85	66	10
86	67	10
87	68	9
88	68	8
89	69	7
90	70	6
91	71	6
92	72	5
93	72	4
94	73	3
95	74	3
96	75	2
97	76	1
98	76	0
99	77	0
